db	species	assembly.accession	assembly.date	assembly.default	assembly.name	genebuild.method	genebuild.version	genebuild.start_date	provider.name	provider.url	species.production_name	species.scientific_name	species.wikipedia_url	species.url	species.display_name	species.taxonomy_id	species.common_name	species.strain	species.species_name	species.species_taxonomy_id
oryza_glumaepatula_core_41_94_15	oryza_glumaepatula	GCA_000576495.1	2014-02	ALNU02000000	Oryza_glumaepatula_v1.5	Imported from OGE	2013-09-OGE	2013-09-OGE	Oryza Genome Evolution Project	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	oryza_glumaepatula	Oryza glumaepatula	http://en.wikipedia.org/wiki/Oryza_glumaepatula	Oryza_glumaepatula	Oryza glumaepatula	40148			Oryza glumaepatula	40148
oryza_indica_core_41_94_2	oryza_indica	GCA_000004655.2	2011-10	ASM465v1	ASM465v1	Imported from BGI	2010-07-BGI	2010-07-BGI	Beijing Genomics Institute	http://rice.genomics.org.cn	oryza_indica	Oryza sativa Indica Group	http://en.wikipedia.org/wiki/Oryza_sativa	Oryza_indica	Oryza sativa Indica	39946	Indica rice	93-11	Oryza sativa	4530
oryza_longistaminata_core_41_94_2	oryza_longistaminata	GCA_000789195.1	2014-12	O_longistaminata_v1.0	O_longistaminata_v1.0	Imported from OGE	2015-05-OGE	2015-05-OGE	Beijing Genomics Institute	http://www.ebi.ac.uk/ena/data/view/GCA_000789195.1	oryza_longistaminata	Oryza longistaminata	http://en.wikipedia.org/wiki/Oryza_longistaminata	Oryza_longistaminata	Oryza longistaminata	4528			Oryza longistaminata	4528
oryza_meridionalis_core_41_94_13	oryza_meridionalis	GCA_000338895.2	2014-02	Oryza_meridionalis_v1.3	Oryza_meridionalis_v1.3	Imported from OGE	2014-10-OGE	2014-10-OGE	Oryza Genome Evolution Project	http://www.omap.org/	oryza_meridionalis	Oryza meridionalis	http://en.wikipedia.org/wiki/Oryza_meridionalis	Oryza_meridionalis	Oryza meridionalis	40149			Oryza meridionalis	40149
oryza_nivara_core_41_94_10	oryza_nivara	GCA_000576065.1	2014-02	AWHD00000000	Oryza_nivara_v1.0	Imported from OGE	2013-09-OGE	2013-09-OGE	Oryza Genome Evolution Project	http://preview.iplantcollaborative.org/de/?type=data	oryza_nivara	Oryza nivara	http://en.wikipedia.org/wiki/Oryza_nivara	Oryza_nivara	Oryza nivara	4536			Oryza nivara	4536
oryza_punctata_core_41_94_12	oryza_punctata	GCA_000573905.1	2014-02	AVCL00000000	Oryza_punctata_v1.2	Imported from OGE	2013-09-OGE	2013-09-OGE	Oryza Genome Evolution Project	http://preview.iplantcollaborative.org/de/?type=data	oryza_punctata	Oryza punctata	http://en.wikipedia.org/wiki/Oryza_punctata	Oryza_punctata	Oryza punctata	4537			Oryza punctata	4537
oryza_rufipogon_core_41_94_11	oryza_rufipogon	GCA_000817225.1	2015-01	OR_W1943	OR_W1943	Imported from OGE	2013-09-OGE	2013-09-OGE	Oryza Genome Evolution Project	http://preview.iplantcollaborative.org/de/?type=data	oryza_rufipogon	Oryza rufipogon	http://en.wikipedia.org/wiki/Oryza_rufipogon	Oryza_rufipogon	Oryza rufipogon	4529	Common wild rice	W1943	Oryza rufipogon	4529
oryza_sativa_core_41_94_7	oryza_sativa	GCA_001433935.1	2016-03	IRGSP-1.0	IRGSP-1.0	Imported from RAP-DB	IRGSP-1.0	2013-04-IRGSP	RAP-DB	http://rapdb.dna.affrc.go.jp/	oryza_sativa	Oryza sativa Japonica Group	http://en.wikipedia.org/wiki/Oryza_sativa	Oryza_sativa	Oryza sativa Japonica	39947	Japonica rice		Oryza sativa	4530
ostreococcus_lucimarinus_core_41_94_1	ostreococcus_lucimarinus	GCA_000092065.1	2011-01	ASM9206v1	ASM9206v1	Generated from ENA annotation	2011-01-ENA	2007-04-EnsemblPlants	Joint Genome Institute	http://www.phytozome.net/olucimarinus	ostreococcus_lucimarinus	Ostreococcus lucimarinus CCE9901	http://en.wikipedia.org/wiki/Ostreococcus_lucimarinus	Ostreococcus_lucimarinus	Ostreococcus lucimarinus	436017	A green algae		Ostreococcus lucimarinus	242159
phaseolus_vulgaris_core_41_94_1	phaseolus_vulgaris	GCA_000499845.1	2013-12	PhaVulg1_0	PhaVulg1_0	Generated from ENA annotation	2017-09-ENA	2013-12-EnsemblPlants	Joint Genome Institute	http://www.ebi.ac.uk/ena/data/view/GCA_000499845	phaseolus_vulgaris	Phaseolus vulgaris	http://en.wikipedia.org/wiki/Phaseolus_vulgaris	Phaseolus_vulgaris	Phaseolus vulgaris	3885			Phaseolus vulgaris	3885
physcomitrella_patens_core_41_94_2	physcomitrella_patens	GCA_000002425.2	2018-01	Phypa_V3	Phypa V3	Generated from ENA annotation	2018-04-ENA	2018-01-26	Moss Genome Consortium	http://www.ebi.ac.uk/ena/data/view/GCA_000002425	physcomitrella_patens	Physcomitrella patens	http://en.wikipedia.org/wiki/Physcomitrella_patens	Physcomitrella_patens	Physcomitrella patens	3218			Physcomitrella patens	3218
populus_trichocarpa_core_41_94_3	populus_trichocarpa	GCA_000002775.3	2018-01	Pop_tri_v3	Pop_tri_v3	Generated from ENA annotation	2018-04-ENA	2018-01-26	Joint Genome Institute	http://www.ebi.ac.uk/ena/data/view/GCA_000002775	populus_trichocarpa	Populus trichocarpa	http://en.wikipedia.org/wiki/Populus_trichocarpa	Populus_trichocarpa	Populus trichocarpa	3694			Populus trichocarpa	3694
prunus_persica_core_41_94_2	prunus_persica	GCA_000346465.2	2017-02	Prunus_persica_NCBIv2	Prunus_persica_NCBIv2	Generated from ENA annotation	2017-09-ENA	2017-02-EnsemblPlants	Joint Genome Institute	http://www.ebi.ac.uk/ena/data/view/GCA_000346465	prunus_persica	Prunus persica	http://en.wikipedia.org/wiki/Prunus_persica	Prunus_persica	Prunus persica	3760			Prunus persica	3760
selaginella_moellendorffii_core_41_94_1	selaginella_moellendorffii	GCA_000143415.1	2010-07	v1.0	v1.0	Generated from ENA annotation	2011-05-ENA	2010-07-ENA	Selaginella Consortium	http://www.jgi.doe.gov/Selaginella	selaginella_moellendorffii	Selaginella moellendorffii	http://en.wikipedia.org/wiki/Selaginella_moellendorffii	Selaginella_moellendorffii	Selaginella moellendorffii	88036	Spike moss		Selaginella moellendorffii	88036
setaria_italica_core_41_94_2	setaria_italica	GCA_000263155.2	2015-10	Setaria_italica_v2.0	Setaria_italica_v2.0	Generated from ENA annotation	2015-11-ENA	2015-11-03	Joint Genome Institute	http://www.ebi.ac.uk/ena/data/view/GCA_000263155	setaria_italica	Setaria italica	http://en.wikipedia.org/wiki/Setaria_italica	Setaria_italica	Setaria italica	4555		Yugu1	Setaria italica	4555
solanum_lycopersicum_core_41_94_250	solanum_lycopersicum	GCA_000188115.2	2014-10	SL2.50	SL2.50	Generated from ENA annotation	2014-10-ENA	2011-05-SolTub_3.0	Solanaceae Genomics Project	http://solgenomics.net/organism/Solanum_lycopersicum/genome	solanum_lycopersicum	Solanum lycopersicum str. Heinz 1706	http://en.wikipedia.org/wiki/Solanum_lycopersicum	Solanum_lycopersicum	Solanum lycopersicum	4081			Solanum lycopersicum	4081
solanum_tuberosum_core_41_94_4	solanum_tuberosum	GCA_000226075.1	2011-09	SolTub_3.0	SolTub_3.0	Imported from PGSC	SolTub_3.0	2011-05-SolTub_3.0	Potato Genome Sequencing Consortium	http://potatogenome.net	solanum_tuberosum	Solanum tuberosum	http://en.wikipedia.org/wiki/Solanum_tuberosum	Solanum_tuberosum	Solanum tuberosum	4113	Potato	DM1-3 516 R44	Solanum tuberosum	4113
sorghum_bicolor_core_41_94_30	sorghum_bicolor	GCA_000003195.3	2017-04	Sorghum_bicolor_NCBIv3	Sorghum_bicolor_NCBIv3	Generated from ENA annotation	2017-06-ENA	2009-06-EnsemblPlants	Sorghum Consortium	http://www.ebi.ac.uk/ena/data/view/GCA_000003195	sorghum_bicolor	Sorghum bicolor	http://en.wikipedia.org/wiki/Sorghum_bicolor	Sorghum_bicolor	Sorghum bicolor	4558			Sorghum bicolor	4558
theobroma_cacao_core_41_94_1	theobroma_cacao	GCA_000403535.1	2013-05	Theobroma_cacao_20110822	Theobroma_cacao_20110822	Generated from ENA annotation	2014-05-ENA	2013-06-EnsemblPlants	Cacao Genome Consortium	http://www.cacaogenomedb.org/	theobroma_cacao	Theobroma cacao	http://en.wikipedia.org/wiki/Theobroma_cacao	Theobroma_cacao	Theobroma cacao	3641	Cocoa	Matina 1-6	Theobroma cacao	3641
trifolium_pratense_core_41_94_1	trifolium_pratense	GCA_900079335.1	2016-05	Trpr	Trpr	Imported from EI	2016-04-TGAC	2016-04-TGAC	Earlham Institute		trifolium_pratense	Trifolium pratense	http://en.wikipedia.org/wiki/Trifolium_pratense	Trifolium_pratense	Trifolium pratense	57577			Trifolium pratense	57577
triticum_aestivum_core_41_94_4	triticum_aestivum	GCA_900519105 	2018-07	IWGSC	IWGSC	Imported from IWGSC	2018-04-IWGSC	2018-04-IWGSC	International Wheat Genome Sequencing Consortium		triticum_aestivum	Triticum aestivum	http://en.wikipedia.org/wiki/Triticum_aestivum	Triticum_aestivum	Triticum aestivum	4565		Chinese spring	Triticum aestivum	4565
triticum_dicoccoides_core_41_94_1	triticum_dicoccoides	GCA_002162155.1	2017-06	WEWSeq_v.1.0	WEWSeq v.1.0	Imported from WWWSeq	2017-05-WEWSeq	2017-05-WEWSeq	WEWseq consortium		triticum_dicoccoides	Triticum dicoccoides		triticum_dicoccoides	Triticum dicoccoides	85692			Triticum dicoccoides	85692
triticum_urartu_core_41_94_1	triticum_urartu	GCA_000347455.1	2013-04	ASM34745v1	ASM34745v1	Generated from ENA annotation	2013-04-ENA	2014-05-BGI	Beijing Genomics Institute	http://gigadb.org/dataset/100050	triticum_urartu	Triticum urartu	http://en.wikipedia.org/wiki/Triticum_urartu	Triticum_urartu	Triticum urartu	4572	Einkorn		Triticum urartu	4572
vigna_angularis_core_41_94_1	vigna_angularis	GCA_001190045.1	2015-08	Vigan1.1	Vigan1.1	Generated from ENA annotation	2015-08-ENA	2015-08-06	Beijing University of Agriculture	http://www.ebi.ac.uk/ena/data/view/GCA_001190045	vigna_angularis	Vigna angularis	http://en.wikipedia.org/wiki/Vigna_angularis	Vigna_angularis	Vigna angularis	3914			Vigna angularis	3914
vigna_radiata_core_41_94_2	vigna_radiata	GCA_000741045.2	2015-11	Vradiata_ver6	Vradiata_ver6	Generated from ENA annotation	2015-10-ENA	2014-09-05	Seoul National University	http://www.ebi.ac.uk/ena/data/view/GCA_000741045	vigna_radiata_var_radiata	Vigna radiata var. radiata	http://en.wikipedia.org/wiki/Vigna_radiata	Vigna_radiata_var_radiata	Vigna radiata var. radiata	3916			Vigna radiata	157791
vitis_vinifera_core_41_94_3	vitis_vinifera	GCA_000003745.2	2011-11	IGGP_12x	12X	Imported from CRIBI V1 Grape Genome	2012-07-CRIBI	2012-11-CRIBI	Genoscope	http://www.genoscope.cns.fr/externe/GenomeBrowser/Vitis	vitis_vinifera	Vitis vinifera	http://en.wikipedia.org/wiki/Vitis_vinifera	Vitis_vinifera	Vitis vinifera	29760	Grape	PN40024	Vitis vinifera	29760
zea_mays_core_41_94_7	zea_mays	GCA_000005005.6	2017-02	AGPv4	B73 RefGen_v4	Imported from Gramene	CampbellMaker2016Dec	2016-12-CSHL	Gramene		zea_mays	Zea mays		Zea_mays	Zea mays	4577	Maize		Zea mays	4577
