db	species	provider.name	provider.url	genebuild.method	genebuild.start_date	genebuild.last_geneset_update	genebuild.version	assembly.date	assembly.default	assembly.name	assembly.accession	species.url	species.alias
galdieria_sulphuraria_core_36_89_1	galdieria_sulphuraria	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000341285	Generated from ENA annotation	2013-02-ENA	2013-02	2013-02-ENA	2013-02	ASM34128v1	ASM34128v1	GCA_000341285.1	Galdieria_sulphuraria	SAG 17.91, Galdieria sulphuraria str. 074W, Galdieria sulphuraria, galdieria_sulphuraria
glycine_max_core_36_89_1	glycine_max	JGI	http://www.phytozome.net/soybean	Imported from JGI-Phytozome	2012-07-JGI		JGI-Glyma-1.1	2010-01	V1.0	V1.0	GCA_000004515.1	Glycine_max	authorityGlycine max (L.) Merr., Glycine max, soybean, soya bean
hordeum_vulgare_core_36_89_3	hordeum_vulgare	IBSC	http://www.barleygenome.org.uk/	import	2016-05-IBSC_1.0		IBSC_1.0		Hv_IBSC_PGSB_v2	IBSC v2		Hordeum_vulgare	Hordeum vulgare, 112509
leersia_perrieri_core_36_89_14	leersia_perrieri	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation	2013-09-OGE		2013-09-OGE	2014-03	Lperr_V1.4	Lperr_V1.4	GCA_000325765.3	Leersia_perrieri	Leersia perrieri
medicago_truncatula_core_36_89_2	medicago_truncatula	IMGAG	http://jcvi.org/medicago/index.php	Generated from ENA annotation	2015-01-IMGAG	2014-06	2014-06-EnsemblPlants	2014-06	MedtrA17_4.0	MedtrA17_4.0	GCA_000219495.2	Medicago_truncatula	Medicago truncatula, medicago_truncatula, Medicago truncatula Gaertn., barrel medic, Medicago truncatula str. A17
musa_acuminata_core_36_89_1	musa_acuminata	CIRAD	http://banana-genome.cirad.fr/	import	2012-08-Cirad	2012-08	2012-08-Cirad	2012-08	MA1	MA1	GCA_000313855.1	Musa_acuminata	banana, true apple banana, Musa acuminata subsp. malaccensis, Musa acuminata
oryza_barthii_core_36_89_3	oryza_barthii	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation	2014-05-OGE		2014-05-OGE	2014-04	O.barthii_v1	O.barthii_v1	GCA_000182155.2	Oryza_barthii	Oryza barthii
oryza_brachyantha_core_36_89_14	oryza_brachyantha	OGE	http://www.omap.org/index.html	Imported from OGE	2011-05-OGE		OGEv1.4	2011-05	Oryza_brachyantha.v1.4b	Oryza_brachyantha.v1.4b	GCA_000231095.2	Oryza_brachyantha	Oryza brachyantha
oryza_glaberrima_core_36_89_2	oryza_glaberrima	AGI	http://www2.genome.arizona.edu/genomes/rice_glab_genome_announce	Imported from MIPS	2011-05-AGI		2011-05-AGI	2011-05	AGI1.1	AGI1.1	GCA_000147395.1	Oryza_glaberrima	Oryza glaberrima Steud., Oryza glaberrima
oryza_glumaepatula_core_36_89_15	oryza_glumaepatula	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation 	2013-09-OGE		2013-09	2013-08	ALNU02000000	ALNU02000000	GCA_000576495.1	Oryza_glumaepatula	Oryza glumaepatula
oryza_indica_core_36_89_2	oryza_indica	RIS	http://rice.genomics.org.cn	Imported from BGI	2010-07-BGI	2010-07	2010-07-BGI	2005-01	ASM465v1	ASM465v1	GCA_000004655.2	Oryza_indica	Oryza sativa indica, Oryza indica, indica, Oryza_sativa_Indica_Group, Oryza_sativa_indica, oi, Oryza sativa Indica Group
oryza_longistaminata_core_36_89_2	oryza_longistaminata	BGI	http://www.ebi.ac.uk/ena/data/view/GCA_000789195.1	Imported from OGE MAKER annotation	2015-05-OGE		2015-05-OGE	2015-05	O_longistaminata_v1.0	O_longistaminata_v1.0	GCA_000789195.1	Oryza_longistaminata	
oryza_meridionalis_core_36_89_13	oryza_meridionalis	OGE	http://www.omap.org/	Imported from OGE MAKER annotation 	2014-10-OGE		2014-10-MAKER	2014-10-OGE	Oryza_meridionalis_v1.3	Oryza_meridionalis_v1.3	GCA_000338895.2	Oryza_meridionalis	Oryza meridionalis
oryza_nivara_core_36_89_10	oryza_nivara	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation 	2013-09-OGE		2013-09	2013-08	AWHD00000000	AWHD00000000	GCA_000576065.1	Oryza_nivara	Oryza nivara
oryza_punctata_core_36_89_12	oryza_punctata	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation 	2013-09-OGE		2013-09	2013-08	AVCL00000000	AVCL00000000	GCA_000573905.1	Oryza_punctata	Oryza punctata
oryza_rufipogon_core_36_89_11	oryza_rufipogon	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation 	2013-09-OGE		2013-09-OGE	2013-08	OR_W1943	OR_W1943	GCA_000817225.1	Oryza_rufipogon	Oryza rufipogon
oryza_sativa_core_36_89_7	oryza_sativa	RAP-DB	http://rapdb.dna.affrc.go.jp/	Imported from RAP-DB	2013-04-IRGSP		IRGSP-1.0		IRGSP-1.0	IRGSP-1.0	GCA_001433935.1	Oryza_sativa	Oryza sativa Japonica (Rice), Oryza sativa, oryza_sativa_japonica_group
ostreococcus_lucimarinus_core_36_89_1	ostreococcus_lucimarinus	JGI	http://www.phytozome.net/olucimarinus	Generated from ENA annotation	2007-04-EnsemblPlants	2011-01	2011-01-EnsemblPlants	2011-01	ASM9206v1	ASM9206v1	GCA_000092065.1	Ostreococcus_lucimarinus	ostreococcus_lucimarinus, Ostreococcus lucimarinus CCE9901
physcomitrella_patens_core_36_89_11	physcomitrella_patens	JGI	http://genome.jgi.doe.gov/Phypa1_1/Phypa1_1.home.html	Imported from JGI-Phytozome	2011-03-JGI	2011-03	2011-03-Phypa1.6	2006-07	ASM242v1	ASM242v1	GCA_000002425.1	Physcomitrella_patens	moss, pp, ppatens, Physcomitrella patens, physcomitrella, Physcomitrella patens subsp. patens
populus_trichocarpa_core_36_89_20	populus_trichocarpa	JGI	http://www.phytozome.net/poplar	Imported from JGI-Phytozome	2010-01-JGI		2010-01-JGI	2010-01	JGI2.0	JGI2.0	GCA_000002775.2	Populus_trichocarpa	Populus trichocarpa, pt, ptrichocarpa, black cottonwood, poplar
prunus_persica_core_36_89_1	prunus_persica	International Peach Genome Initiative	http://www.rosaceae.org/species/prunus_persica/genome_v1.0	Generated by the IPGI	2013-03-IPGI	2013-03	2013-03	2013-03	Prupe1_0	Prupe1_0	GCA_000346465.1	Prunus_persica	Prunus persica (L.) Batsch, Prunus persica var. densa, Prunus persica, Prunus persica var. densa Makino, Prunus persica var densa, prunus_persica, 203801, peach, Amygdalus persica, Persica vulgaris Mill., Persica vulgaris
selaginella_moellendorffii_core_36_89_1	selaginella_moellendorffii	JGI	http://www.jgi.doe.gov/Selaginella	Generated from ENA and UniProtKB annotation	2010-07-ENA	2011-05	2011-05-ENA	2011-05	v1.0	v1.0	GCA_000143415.1	Selaginella_moellendorffii	Selaginella moellendorfii, Selaginella moellendorffii Hieron., Selaginella moellendorffii, selaginella_moellendorffii
setaria_italica_core_36_89_21	setaria_italica	JGI	http://www.phytozome.net/foxtailmillet.php	Imported from JGI	2012-01-JGI		JGIv2.1	2012-01	JGIv2.0	JGIv2.0	GCA_000263155.1	Setaria_italica	Setaria italica (L.) P.Beauv., Setaria italica, foxtail millet, setaria_italica
solanum_lycopersicum_core_36_89_250	solanum_lycopersicum	ITGSP	http://solgenomics.net/organism/Solanum_lycopersicum/genome	Generated from ENA annotation	2011-05-SolTub_3.0	2014-10	2014-10-EnsemblPlants	2014-10	SL2.50	SL2.50	GCA_000188115.2	Solanum_lycopersicum	tomato, Lycopersicon esculentum Mill., Solanum lycopersicon, Solanum esculentum, Solanum lycopersicum str. Heinz 1706, Solanum esculentum Dunal, Lycopersicon lycopersicum, Lycopersicum esculentum, 195582, Lycopersicon esculentum var. esculentum, Solanum lycopersicum, Lycopersicon esculentum, Solanum lycopersicum L., solanum_lycopersicum
solanum_tuberosum_core_36_89_4	solanum_tuberosum	PGSC	http://potatogenome.net	import	2011-05-SolTub_3.0		SolTub_3.0	2011-05	SolTub_3.0	SolTub_3.0	GCA_000226075.1	Solanum_tuberosum	s_tuberosum, Solanum tuberosum, potato
sorghum_bicolor_core_36_89_20	sorghum_bicolor	JGI	http://www.ebi.ac.uk/ena/data/view/GCA_000003195.2	Imported from JGI-Phytozome	2006-09-JGI	2016-08	2016-08-JGI	2016-08	Sorghum_bicolor_v2	Sorghum_bicolor_v2	GCA_000003195.2	Sorghum_bicolor	milo, Sorghum vulgare, Sorghum bicolor milo, broomcorn, Sorghum saccharatum (L.) Moench, Andropogon sorghum, Sorghum bicolor, Andropogon sorghum (L.) Brot., Sorghum saccharatum, Sorghum vulgare Pers., Sorghum bicolor subsp. bicolor, Sorghum nervosum, sorghum, Sorghum_bicolor, Sorghum nervosum Besser ex Schult., Sorghum bicolor (L.) Moench
theobroma_cacao_core_36_89_1	theobroma_cacao	The Cacao Genome Database	http://www.cacaogenomedb.org/	Generated from ENA annotation	2013-06-EnsemblPlants	2014-05	2014-05-EnsemblPlants	2014-05	Theobroma_cacao_20110822	Theobroma_cacao_20110822	GCA_000403535.1	Theobroma_cacao	cacao, Theobroma cacao, cocoa, chocolate, theobroma_cacao
trifolium_pratense_core_36_89_1	trifolium_pratense	TGAC		Imported from TGAC	2016-04-TGAC		2016-04-TGAC	2016-04	Trpr	Trpr	GCA_900079335.1	Trifolium_pratense	purple clover, trifolium_pratense, peavine clover, Trifolium pratense L., rotklee, Triflorum pratense, Trifolium pratense, red clover
triticum_aestivum_core_36_89_3	triticum_aestivum	TGAC		Imported from TGAC	2015-12-TGACv1		2016-05-TGAC	2015-12	TGACv1	TGACv1	GCA_900067645.1	Triticum_aestivum	bread wheat, common wheat, wheat
triticum_urartu_core_36_89_1	triticum_urartu	BGI	http://gigadb.org/dataset/100050	Generated from ENA annotation	2014-05-BGI	2013-04	2013-04-BGI	2013-04	ASM34745v1	ASM34745v1	GCA_000347455.1	Triticum_urartu	Triticum urartu Tumanian ex Gandilyan, Triticum urartu, triticum_urartu
vitis_vinifera_core_36_89_3	vitis_vinifera	Genoscope	http://www.genoscope.cns.fr/externe/GenomeBrowser/Vitis	Imported from CRIBI V1 Grape Genome	2012-11-CRIBI		2012-07-CRIBI	2011-06	IGGP_12x	IGGP_12x	GCA_000003745.2	Vitis_vinifera	vv, vvinifera, grape, Vitis vinifera
zea_mays_core_36_89_7	zea_mays	wareLab		MAKER-P	2016-12-CSHL	2016-12	CampbellMaker2016Dec	2016-03	AGPv4	AGPv4	GCA_000005015.6	Zea_mays	
