db	species	assembly.accession	assembly.name	assembly.default	assembly.date	assembly.description	genebuild.method	genebuild.version	provider.name	provider.url	species.production_name	species.url	species.scientific_name	species.display_name	species.db_name	species.taxonomy_id	species.species_name	species.species_taxonomy_id
chondrus_crispus_core_39_92_1	chondrus_crispus	GCA_000350225.2	ASM35022v2	ASM35022v2	2015-09	Chondrus crispus strain:Stackhouse Genome sequencing and assembly	Generated from ENA annotation	2015-09-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000350225	chondrus_crispus	Chondrus_crispus	Chondrus crispus	Chondrus crispus	chondrus_crispus	2769	Chondrus crispus	2769
corchorus_capsularis_core_39_92_1	corchorus_capsularis	GCA_001974805.1	CCACVL1_1.0	CCACVL1_1.0	2017-02	Corchorus capsularis cultivar:CVL-1 Genome sequencing and assembly	Generated from ENA annotation	2017-02-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_001974805	corchorus_capsularis	Corchorus_capsularis	Corchorus capsularis	Corchorus capsularis	corchorus_capsularis	210143	Corchorus capsularis	210143
cucumis_sativus_core_39_92_2	cucumis_sativus	GCA_000004075.2	ASM407v2	ASM407v2	2014-10	Cucumis sativus cultivar:9930 Genome sequencing and assembly	Generated from ENA annotation	2014-10-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000004075	cucumis_sativus	Cucumis_sativus	Cucumis sativus	Cucumis sativus	cucumis_sativus	3659	Cucumis sativus	3659
cyanidioschyzon_merolae_core_39_92_1	cyanidioschyzon_merolae	GCA_000091205.1	ASM9120v1	ASM9120v1	2008-11		Generated from ENA and UniProtKB annotation	2008-11-ENA	Cyanidioschyzon merolae Genome Project	http://merolae.biol.s.u-tokyo.ac.jp/	cyanidioschyzon_merolae	Cyanidioschyzon_merolae	Cyanidioschyzon merolae strain 10D	Cyanidioschyzon merolae		280699	Cyanidioschyzon merolae	45157
dioscorea_rotundata_core_39_92_2	dioscorea_rotundata	GCA_002240015.2	TDr96_F1_Pseudo_Chromosome_v1.0	TDr96_F1_Pseudo_Chromosome_v1.0		The Draft Genome of Dioscorea rotundata	Generated from ENA annotation	2017-10ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_002240015	dioscorea_rotundata	Dioscorea_rotundata	Dioscorea rotundata	Dioscorea rotundata	dioscorea_rotundata	55577	Dioscorea rotundata	55577
galdieria_sulphuraria_core_39_92_1	galdieria_sulphuraria	GCA_000341285.1	ASM34128v1	ASM34128v1	2013-02	NSF funded genome sequencing project	Generated from ENA annotation	2013-02-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000341285	galdieria_sulphuraria	Galdieria_sulphuraria	Galdieria sulphuraria	Galdieria sulphuraria	galdieria_sulphuraria	130081	Galdieria sulphuraria	130081
glycine_max_core_39_92_3	glycine_max	GCA_000004515.3	Glycine_max_v2.0	Glycine_max_v2.0	2015-11	Soybean WGS sequencing project	Generated from ENA annotation	2015-11-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000004515	glycine_max	Glycine_max	Glycine max	Glycine max	glycine_max	3847	Glycine max	3847
gossypium_raimondii_core_39_92_1	gossypium_raimondii	GCA_000327365.1	Graimondii2_0	Graimondii2_0	2017-09	Gossypium raimondii Genome sequencing and assembly	Generated from ENA annotation	2017-09-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000327365	gossypium_raimondii	Gossypium_raimondii	Gossypium raimondii	Gossypium raimondii	gossypium_raimondii	29730	Gossypium raimondii	29730
helianthus_annuus_core_39_92_1	helianthus_annuus	GCA_002127325.1	HanXRQr1.0	HanXRQr1.0	2017-09	Helianthus annuus Genome sequencing and assembly	Generated from ENA annotation	2017-09-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_002127325	helianthus_annuus	Helianthus_annuus	Helianthus annuus	Helianthus annuus	helianthus_annuus	4232	Helianthus annuus	4232
hordeum_vulgare_core_39_92_3	hordeum_vulgare		IBSC v2	Hv_IBSC_PGSB_v2			import	IBSC_1.0	IBSC	http://www.barleygenome.org.uk/	hordeum_vulgare	Hordeum_vulgare	Hordeum vulgare	Hordeum vulgare		112509	Hordeum vulgare	4513
leersia_perrieri_core_39_92_14	leersia_perrieri	GCA_000325765.3	Lperr_V1.4	Lperr_V1.4	2014-03		Imported from OGE MAKER annotation	2013-09-OGE	Oryza Genome Evolution Project	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	leersia_perrieri	Leersia_perrieri	Leersia perrieri	Leersia perrieri		77586	Leersia perrieri	77586
lupinus_angustifolius_core_39_92_1	lupinus_angustifolius	GCA_001865875.1	LupAngTanjil_v1.0	LupAngTanjil_v1.0	2017-07	Lupinus angustifolius Genome sequencing and assembly	Generated from ENA annotation	2017-07-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_001865875	lupinus_angustifolius	Lupinus_angustifolius	Lupinus angustifolius	Lupinus angustifolius	lupinus_angustifolius	3871	Lupinus angustifolius	3871
manihot_esculenta_core_39_92_1	manihot_esculenta	GCA_001659605.1	Manihot_esculenta_v6	Manihot_esculenta_v6	2017-09	Cassava WGS sequencing	Generated from ENA annotation	2017-09-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_001659605	manihot_esculenta	Manihot_esculenta	Manihot esculenta	Manihot esculenta	manihot_esculenta	3983	Manihot esculenta	3983
medicago_truncatula_core_39_92_2	medicago_truncatula	GCA_000219495.2	MedtrA17_4.0	MedtrA17_4.0	2014-06	Medicago truncatula strain:A17 Genome sequencing	Generated from ENA annotation	2014-06-EnsemblPlants	Medicago truncatula Genome Database	http://www.medicagogenome.org/	medicago_truncatula	Medicago_truncatula	Medicago truncatula str. A17	Medicago truncatula	medicago_truncatula	3880	Medicago truncatula	3880
musa_acuminata_core_39_92_1	musa_acuminata	GCA_000313855.1	MA1	MA1	2012-08		import	2012-08-Cirad	CIRAD	http://banana-genome-hub.southgreen.fr/	musa_acuminata	Musa_acuminata	Musa acuminata subsp. malaccensis	Musa acuminata		214687	Musa acuminata	4641
nicotiana_attenuata_core_39_92_1	nicotiana_attenuata	GCA_001879085.1	NIATTr2	NIATTr2	2017-09	Nicotiana attenuata strain:UT Genome sequencing and assembly	Generated from ENA annotation	2017-09-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_001879085	nicotiana_attenuata	Nicotiana_attenuata	Nicotiana attenuata str. UT	Nicotiana attenuata str. UT	nicotiana_attenuata	49451	Nicotiana attenuata	49451
oryza_barthii_core_39_92_3	oryza_barthii	GCA_000182155.2	O.barthii_v1	O.barthii_v1	2014-04		Imported from OGE MAKER annotation	2014-05-OGE	Oryza Genome Evolution Project	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	oryza_barthii	Oryza_barthii	Oryza barthii	Oryza barthii		65489	Oryza barthii	65489
oryza_brachyantha_core_39_92_14	oryza_brachyantha	GCA_000231095.2	Oryza_brachyantha.v1.4b	Oryza_brachyantha.v1.4b	2011-05		Imported from OGE	OGEv1.4	Oryza Genome Evolution Project	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	oryza_brachyantha	Oryza_brachyantha	Oryza brachyantha	Oryza brachyantha		4533	Oryza brachyantha	4533
oryza_glaberrima_core_39_92_2	oryza_glaberrima	GCA_000147395.1	AGI1.1	AGI1.1	2011-05		Imported from MIPS	2011-05-AGI	AGI	http://www2.genome.arizona.edu/genomes/rice_glab_genome_announce	oryza_glaberrima	Oryza_glaberrima	Oryza glaberrima	Oryza glaberrima		4538	Oryza glaberrima	4538
oryza_glumaepatula_core_39_92_15	oryza_glumaepatula	GCA_000576495.1	ALNU02000000	ALNU02000000	2013-08		Imported from OGE MAKER annotation 	2013-09	Oryza Genome Evolution Project	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	oryza_glumaepatula	Oryza_glumaepatula	Oryza glumaepatula	Oryza glumaepatula		40148	Oryza glumaepatula	40148
oryza_indica_core_39_92_2	oryza_indica	GCA_000004655.2	ASM465v1	ASM465v1	2005-01		Imported from BGI	2010-07-BGI	RIS	http://rice.genomics.org.cn	oryza_indica	Oryza_indica	Oryza sativa Indica Group	Oryza sativa Indica		39946	Oryza sativa	4530
oryza_longistaminata_core_39_92_2	oryza_longistaminata	GCA_000789195.1	O_longistaminata_v1.0	O_longistaminata_v1.0	2015-05		Imported from OGE MAKER annotation	2015-05-OGE	BGI	http://www.ebi.ac.uk/ena/data/view/GCA_000789195.1	oryza_longistaminata	Oryza_longistaminata	Oryza longistaminata	Oryza longistaminata		4528	Oryza longistaminata	
oryza_meridionalis_core_39_92_13	oryza_meridionalis	GCA_000338895.2	Oryza_meridionalis_v1.3	Oryza_meridionalis_v1.3	2014-10-OGE		Imported from OGE MAKER annotation 	2014-10-MAKER	OGE	http://www.omap.org/	oryza_meridionalis	Oryza_meridionalis	Oryza meridionalis	Oryza meridionalis		40149	Oryza meridionalis	40149
oryza_nivara_core_39_92_10	oryza_nivara	GCA_000576065.1	AWHD00000000	AWHD00000000	2013-08		Imported from OGE MAKER annotation 	2013-09	OGE	http://preview.iplantcollaborative.org/de/?type=data	oryza_nivara	Oryza_nivara	Oryza nivara	Oryza nivara		4536	Oryza nivara	4536
oryza_punctata_core_39_92_12	oryza_punctata	GCA_000573905.1	AVCL00000000	AVCL00000000	2013-08		Imported from OGE MAKER annotation 	2013-09	OGE	http://preview.iplantcollaborative.org/de/?type=data	oryza_punctata	Oryza_punctata	Oryza punctata	Oryza punctata		4537	Oryza punctata	4537
oryza_rufipogon_core_39_92_11	oryza_rufipogon	GCA_000817225.1	OR_W1943	OR_W1943	2013-08		Imported from OGE MAKER annotation 	2013-09-OGE	OGE	http://preview.iplantcollaborative.org/de/?type=data	oryza_rufipogon	Oryza_rufipogon	Oryza rufipogon	Oryza rufipogon		4529	Oryza rufipogon	4529
oryza_sativa_core_39_92_7	oryza_sativa	GCA_001433935.1	IRGSP-1.0	IRGSP-1.0			Imported from RAP-DB	IRGSP-1.0	RAP-DB	http://rapdb.dna.affrc.go.jp/	oryza_sativa	Oryza_sativa	Oryza sativa Japonica Group	Oryza sativa Japonica		39947	Oryza sativa	4530
ostreococcus_lucimarinus_core_39_92_1	ostreococcus_lucimarinus	GCA_000092065.1	ASM9206v1	ASM9206v1	2011-01	Sequencing of Ostreococcus genome by Department of Energy	Generated from ENA annotation	2011-01-EnsemblPlants	JGI	http://www.phytozome.net/olucimarinus	ostreococcus_lucimarinus	Ostreococcus_lucimarinus	Ostreococcus lucimarinus CCE9901	Ostreococcus lucimarinus		436017	Ostreococcus lucimarinus	242159
phaseolus_vulgaris_core_39_92_1	phaseolus_vulgaris	GCA_000499845.1	PhaVulg1_0	PhaVulg1_0	2017-09	Phaseolus vulgaris cultivar:G19833 Genome sequencing and assembly	Generated from ENA annotation	2017-09-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000499845	phaseolus_vulgaris	Phaseolus_vulgaris	Phaseolus vulgaris	Phaseolus vulgaris	phaseolus_vulgaris	3885	Phaseolus vulgaris	3885
physcomitrella_patens_core_39_92_11	physcomitrella_patens	GCA_000002425.1	ASM242v1	ASM242v1	2006-07		Imported from JGI-Phytozome	2011-03-Phypa1.6	JGI	http://genome.jgi.doe.gov/Phypa1_1/Phypa1_1.home.html	physcomitrella_patens	Physcomitrella_patens	Physcomitrella patens	Physcomitrella patens		3218	Physcomitrella patens	3218
populus_trichocarpa_core_39_92_20	populus_trichocarpa	GCA_000002775.2	JGI2.0	JGI2.0	2010-01		Imported from JGI-Phytozome	2010-01-JGI	JGI	http://www.phytozome.net/poplar	populus_trichocarpa	Populus_trichocarpa	Populus trichocarpa	Populus trichocarpa		3694	Populus trichocarpa	3694
prunus_persica_core_39_92_2	prunus_persica	GCA_000346465.2	Prunus_persica_NCBIv2	Prunus_persica_NCBIv2	2017-09	Prunus persica	Generated from ENA annotation	2017-09-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000346465	prunus_persica	Prunus_persica	Prunus persica	Prunus persica	prunus_persica	3760	Prunus persica	3760
selaginella_moellendorffii_core_39_92_1	selaginella_moellendorffii	GCA_000143415.1	v1.0	v1.0	2011-05		Generated from ENA and UniProtKB annotation	2011-05-ENA	JGI	http://www.jgi.doe.gov/Selaginella	selaginella_moellendorffii	Selaginella_moellendorffii	Selaginella moellendorffii	Selaginella moellendorffii		88036	Selaginella moellendorffii	88036
setaria_italica_core_39_92_21	setaria_italica	GCA_000263155.1	JGIv2.0	JGIv2.0	2012-01		Imported from JGI	JGIv2.1	JGI	http://www.phytozome.net/foxtailmillet.php	setaria_italica	Setaria_italica	Setaria italica	Setaria italica		4555	Setaria italica	4555
solanum_lycopersicum_core_39_92_250	solanum_lycopersicum	GCA_000188115.2	SL2.50	SL2.50	2014-10	Sequencing of the tomato genome by the international consortium	Generated from ENA annotation	2014-10-EnsemblPlants	ITGSP	http://solgenomics.net/organism/Solanum_lycopersicum/genome	solanum_lycopersicum	Solanum_lycopersicum	Solanum lycopersicum str. Heinz 1706	Solanum lycopersicum	solanum_lycopersicum	4081	Solanum lycopersicum	4081
solanum_tuberosum_core_39_92_4	solanum_tuberosum	GCA_000226075.1	SolTub_3.0	SolTub_3.0	2011-05		import	SolTub_3.0	PGSC	http://potatogenome.net	solanum_tuberosum	Solanum_tuberosum	Solanum tuberosum	Solanum tuberosum		4113	Solanum tuberosum	4113
sorghum_bicolor_core_39_92_30	sorghum_bicolor	GCA_000003195.3	Sorghum_bicolor_NCBIv3	Sorghum_bicolor_NCBIv3	2017-06	drought-tolerant, cultivated crop	Generated from ENA annotation	2017-06-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000003195	sorghum_bicolor	Sorghum_bicolor	Sorghum bicolor	Sorghum bicolor	sorghum_bicolor	4558	Sorghum bicolor	4558
theobroma_cacao_core_39_92_1	theobroma_cacao	GCA_000403535.1	Theobroma_cacao_20110822	Theobroma_cacao_20110822	2014-05	Theobroma cacao Matina 1-6 genome sequencing project	Generated from ENA annotation	2014-05-EnsemblPlants	The Cacao Genome Database	http://www.cacaogenomedb.org/	theobroma_cacao	Theobroma_cacao	Theobroma cacao	Theobroma cacao		3641	Theobroma cacao	3641
trifolium_pratense_core_39_92_1	trifolium_pratense	GCA_900079335.1	Trpr	Trpr	2016-04	Assembly of red clover (Trifolium pratense L.) genome	Imported from TGAC	2016-04-TGAC	Earlham Institute		trifolium_pratense	Trifolium_pratense	Trifolium pratense	Trifolium pratense	trifolium_pratense	57577	Trifolium pratense	57577
triticum_aestivum_core_39_92_3	triticum_aestivum	GCA_900067645.1	TGACv1	TGACv1	2015-12		Imported from TGAC	2016-05-TGAC	Earlham Institute	http://www.earlham.ac.uk/sequencing-wheat-genome	triticum_aestivum	Triticum_aestivum	Triticum aestivum	Triticum aestivum		4565	Triticum aestivum	4565
triticum_urartu_core_39_92_1	triticum_urartu	GCA_000347455.1	ASM34745v1	ASM34745v1	2013-04	Triticum urartu Genome sequencing	Generated from ENA annotation	2013-04-BGI	Beijing Genomics Institute	http://gigadb.org/dataset/100050	triticum_urartu	Triticum_urartu	Triticum urartu	Triticum urartu		4572	Triticum urartu	4572
vitis_vinifera_core_39_92_3	vitis_vinifera	GCA_000003745.2	IGGP_12x	IGGP_12x	2011-06		Imported from CRIBI V1 Grape Genome	2012-07-CRIBI	Genoscope	http://www.genoscope.cns.fr/externe/GenomeBrowser/Vitis	vitis_vinifera	Vitis_vinifera	Vitis vinifera	Vitis vinifera		29760	Vitis vinifera	29760
zea_mays_core_39_92_7	zea_mays	GCA_000005005.6	B73 RefGen_v4	AGPv4	2016-03		MAKER-P	CampbellMaker2016Dec	wareLab		zea_mays	Zea_mays	Zea mays	Zea mays		4577		
