db	species	assembly.accession	assembly.default	assembly.date	assembly.name	assembly.description	assembly.master_accession	genebuild.method	provider.name	genebuild.version	provider.url	species.production_name	species.db_name	species.wikipedia_name	species.wikipedia_url	species.url	species.display_name	species.scientific_name	species.taxonomy_id	species.common_name	species.strain	species.species_name	species.species_taxonomy_id
leersia_perrieri_core_41_94_14	leersia_perrieri	GCA_000325765.3	Lperr_V1.4	2014-03	Lperr_V1.4			Imported from OGE	Oryza Genome Evolution Project	2013-09-OGE	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	leersia_perrieri			http://en.wikipedia.org/wiki/Leersia_perrieri	Leersia_perrieri	Leersia perrieri	Leersia perrieri	77586	Leersia		Leersia perrieri	77586
lupinus_angustifolius_core_41_94_1	lupinus_angustifolius	GCA_001865875.1	LupAngTanjil_v1.0	2016-11	LupAngTanjil_v1.0			Generated from ENA annotation	Commonwealth Scientific and Industrial Research Organisation 	2017-07-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_001865875	lupinus_angustifolius			http://en.wikipedia.org/wiki/Lupinus_angustifolius	Lupinus_angustifolius	Lupinus angustifolius	Lupinus angustifolius	3871			Lupinus angustifolius	3871
manihot_esculenta_core_41_94_1	manihot_esculenta	GCA_001659605.1	Manihot_esculenta_v6	2016-06	Manihot esculenta v6			Generated from ENA annotation	Joint Genome Institute	2017-09-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_001659605	manihot_esculenta			http://en.wikipedia.org/wiki/Manihot_esculenta	Manihot_esculenta	Manihot esculenta	Manihot esculenta	3983	Cassava		Manihot esculenta	3983
medicago_truncatula_core_41_94_2	medicago_truncatula	GCA_000219495.2	MedtrA17_4.0	2014-06	MedtrA17_4.0			Generated from ENA annotation	Medicago truncatula Consortium	2014-06-ENA	http://www.medicagogenome.org/	medicago_truncatula			http://en.wikipedia.org/wiki/Medicago_truncatula	Medicago_truncatula	Medicago truncatula	Medicago truncatula str. A17	3880	Barrel medic	A17	Medicago truncatula	3880
musa_acuminata_core_41_94_1	musa_acuminata	GCA_000313855.1	MA1	2012-11	ASM31385v1			Imported from CIRAD	Genoscope	2012-08-Cirad	http://banana-genome-hub.southgreen.fr/	musa_acuminata			http://en.wikipedia.org/wiki/Musa_acuminata	Musa_acuminata	Musa acuminata	Musa acuminata subsp. malaccensis	214687	Banana	DH-Pahang	Musa acuminata	4641
nicotiana_attenuata_core_41_94_1	nicotiana_attenuata	GCA_001879085.1	NIATTr2	2016-11	NIATTr2			Generated from ENA annotation	Max Planck Institute for Chemical Ecology	2017-09-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_001879085	nicotiana_attenuata			http://en.wikipedia.org/wiki/Nicotiana_attenuata	Nicotiana_attenuata	Nicotiana attenuata str. UT	Nicotiana attenuata str. UT	49451		UT	Nicotiana attenuata	49451
oryza_barthii_core_41_94_3	oryza_barthii	GCA_000182155.2	O.barthii_v1	2014-03	O.barthii_v1			Imported from OGE	Oryza Genome Evolution Project	2014-05-OGE	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	oryza_barthii			http://en.wikipedia.org/wiki/Oryza_barthii	Oryza_barthii	Oryza barthii	Oryza barthii	65489	African wild rice	IRGC 105608	Oryza barthii	65489
oryza_brachyantha_core_41_94_14	oryza_brachyantha	GCA_000231095.2	Oryza_brachyantha.v1.4b	2012-01	Oryza_brachyantha.v1.4b			Imported from OGE	Oryza Genome Evolution Project	OGEv1.4	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	oryza_brachyantha			http://en.wikipedia.org/wiki/Oryza_brachyantha	Oryza_brachyantha	Oryza brachyantha	Oryza brachyantha	4533			Oryza brachyantha	4533
oryza_glaberrima_core_41_94_2	oryza_glaberrima	GCA_000147395.1	AGI1.1	2010-09	Oryza_glaberrima_V1			Imported from MIPS	Oryza Genome Evolution Project	2011-05-AGI	http://www2.genome.arizona.edu/genomes/rice_glab_genome_announce	oryza_glaberrima			http://en.wikipedia.org/wiki/Oryza_glaberrima	Oryza_glaberrima	Oryza glaberrima	Oryza glaberrima	4538	African rice	CG14	Oryza glaberrima	4538
oryza_glumaepatula_core_41_94_15	oryza_glumaepatula	GCA_000576495.1	ALNU02000000	2014-02	Oryza_glumaepatula_v1.5			Imported from OGE	Oryza Genome Evolution Project	2013-09-OGE	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	oryza_glumaepatula			http://en.wikipedia.org/wiki/Oryza_glumaepatula	Oryza_glumaepatula	Oryza glumaepatula	Oryza glumaepatula	40148			Oryza glumaepatula	40148
oryza_indica_core_41_94_2	oryza_indica	GCA_000004655.2	ASM465v1	2011-10	ASM465v1			Imported from BGI	Beijing Genomics Institute	2010-07-BGI	http://rice.genomics.org.cn	oryza_indica			http://en.wikipedia.org/wiki/Oryza_sativa	Oryza_indica	Oryza sativa Indica	Oryza sativa Indica Group	39946	Indica rice	93-11	Oryza sativa	4530
oryza_longistaminata_core_41_94_2	oryza_longistaminata	GCA_000789195.1	O_longistaminata_v1.0	2014-12	O_longistaminata_v1.0			Imported from OGE	Beijing Genomics Institute	2015-05-OGE	http://www.ebi.ac.uk/ena/data/view/GCA_000789195.1	oryza_longistaminata			http://en.wikipedia.org/wiki/Oryza_longistaminata	Oryza_longistaminata	Oryza longistaminata	Oryza longistaminata	4528			Oryza longistaminata	4528
oryza_meridionalis_core_41_94_13	oryza_meridionalis	GCA_000338895.2	Oryza_meridionalis_v1.3	2014-02	Oryza_meridionalis_v1.3			Imported from OGE	Oryza Genome Evolution Project	2014-10-OGE	http://www.omap.org/	oryza_meridionalis			http://en.wikipedia.org/wiki/Oryza_meridionalis	Oryza_meridionalis	Oryza meridionalis	Oryza meridionalis	40149			Oryza meridionalis	40149
oryza_nivara_core_41_94_10	oryza_nivara	GCA_000576065.1	AWHD00000000	2014-02	Oryza_nivara_v1.0			Imported from OGE	Oryza Genome Evolution Project	2013-09-OGE	http://preview.iplantcollaborative.org/de/?type=data	oryza_nivara			http://en.wikipedia.org/wiki/Oryza_nivara	Oryza_nivara	Oryza nivara	Oryza nivara	4536			Oryza nivara	4536
oryza_punctata_core_41_94_12	oryza_punctata	GCA_000573905.1	AVCL00000000	2014-02	Oryza_punctata_v1.2			Imported from OGE	Oryza Genome Evolution Project	2013-09-OGE	http://preview.iplantcollaborative.org/de/?type=data	oryza_punctata			http://en.wikipedia.org/wiki/Oryza_punctata	Oryza_punctata	Oryza punctata	Oryza punctata	4537			Oryza punctata	4537
oryza_rufipogon_core_41_94_11	oryza_rufipogon	GCA_000817225.1	OR_W1943	2015-01	OR_W1943			Imported from OGE	Oryza Genome Evolution Project	2013-09-OGE	http://preview.iplantcollaborative.org/de/?type=data	oryza_rufipogon			http://en.wikipedia.org/wiki/Oryza_rufipogon	Oryza_rufipogon	Oryza rufipogon	Oryza rufipogon	4529	Common wild rice	W1943	Oryza rufipogon	4529
oryza_sativa_core_41_94_7	oryza_sativa	GCA_001433935.1	IRGSP-1.0	2016-03	IRGSP-1.0			Imported from RAP-DB	RAP-DB	IRGSP-1.0	http://rapdb.dna.affrc.go.jp/	oryza_sativa			http://en.wikipedia.org/wiki/Oryza_sativa	Oryza_sativa	Oryza sativa Japonica	Oryza sativa Japonica Group	39947	Japonica rice		Oryza sativa	4530
ostreococcus_lucimarinus_core_41_94_1	ostreococcus_lucimarinus	GCA_000092065.1	ASM9206v1	2011-01	ASM9206v1			Generated from ENA annotation	Joint Genome Institute	2011-01-ENA	http://www.phytozome.net/olucimarinus	ostreococcus_lucimarinus			http://en.wikipedia.org/wiki/Ostreococcus_lucimarinus	Ostreococcus_lucimarinus	Ostreococcus lucimarinus	Ostreococcus lucimarinus CCE9901	436017	A green algae		Ostreococcus lucimarinus	242159
phaseolus_vulgaris_core_41_94_1	phaseolus_vulgaris	GCA_000499845.1	PhaVulg1_0	2013-12	PhaVulg1_0			Generated from ENA annotation	Joint Genome Institute	2017-09-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000499845	phaseolus_vulgaris			http://en.wikipedia.org/wiki/Phaseolus_vulgaris	Phaseolus_vulgaris	Phaseolus vulgaris	Phaseolus vulgaris	3885			Phaseolus vulgaris	3885
physcomitrella_patens_core_41_94_2	physcomitrella_patens	GCA_000002425.2	Phypa_V3	2018-01	Phypa V3			Generated from ENA annotation	Moss Genome Consortium	2018-04-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000002425	physcomitrella_patens			http://en.wikipedia.org/wiki/Physcomitrella_patens	Physcomitrella_patens	Physcomitrella patens	Physcomitrella patens	3218			Physcomitrella patens	3218
populus_trichocarpa_core_41_94_3	populus_trichocarpa	GCA_000002775.3	Pop_tri_v3	2018-01	Pop_tri_v3			Generated from ENA annotation	Joint Genome Institute	2018-04-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000002775	populus_trichocarpa			http://en.wikipedia.org/wiki/Populus_trichocarpa	Populus_trichocarpa	Populus trichocarpa	Populus trichocarpa	3694			Populus trichocarpa	3694
prunus_persica_core_41_94_2	prunus_persica	GCA_000346465.2	Prunus_persica_NCBIv2	2017-02	Prunus_persica_NCBIv2			Generated from ENA annotation	Joint Genome Institute	2017-09-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000346465	prunus_persica			http://en.wikipedia.org/wiki/Prunus_persica	Prunus_persica	Prunus persica	Prunus persica	3760			Prunus persica	3760
selaginella_moellendorffii_core_41_94_1	selaginella_moellendorffii	GCA_000143415.1	v1.0	2010-07	v1.0			Generated from ENA annotation	Selaginella Consortium	2011-05-ENA	http://www.jgi.doe.gov/Selaginella	selaginella_moellendorffii			http://en.wikipedia.org/wiki/Selaginella_moellendorffii	Selaginella_moellendorffii	Selaginella moellendorffii	Selaginella moellendorffii	88036	Spike moss		Selaginella moellendorffii	88036
setaria_italica_core_41_94_2	setaria_italica	GCA_000263155.2	Setaria_italica_v2.0	2015-10	Setaria_italica_v2.0			Generated from ENA annotation	Joint Genome Institute	2015-11-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000263155	setaria_italica			http://en.wikipedia.org/wiki/Setaria_italica	Setaria_italica	Setaria italica	Setaria italica	4555		Yugu1	Setaria italica	4555
solanum_lycopersicum_core_41_94_250	solanum_lycopersicum	GCA_000188115.2	SL2.50	2014-10	SL2.50			Generated from ENA annotation	Solanaceae Genomics Project	2014-10-ENA	http://solgenomics.net/organism/Solanum_lycopersicum/genome	solanum_lycopersicum			http://en.wikipedia.org/wiki/Solanum_lycopersicum	Solanum_lycopersicum	Solanum lycopersicum	Solanum lycopersicum str. Heinz 1706	4081			Solanum lycopersicum	4081
solanum_tuberosum_core_41_94_4	solanum_tuberosum	GCA_000226075.1	SolTub_3.0	2011-09	SolTub_3.0			Imported from PGSC	Potato Genome Sequencing Consortium	SolTub_3.0	http://potatogenome.net	solanum_tuberosum			http://en.wikipedia.org/wiki/Solanum_tuberosum	Solanum_tuberosum	Solanum tuberosum	Solanum tuberosum	4113	Potato	DM1-3 516 R44	Solanum tuberosum	4113
sorghum_bicolor_core_41_94_30	sorghum_bicolor	GCA_000003195.3	Sorghum_bicolor_NCBIv3	2017-04	Sorghum_bicolor_NCBIv3			Generated from ENA annotation	Sorghum Consortium	2017-06-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000003195	sorghum_bicolor			http://en.wikipedia.org/wiki/Sorghum_bicolor	Sorghum_bicolor	Sorghum bicolor	Sorghum bicolor	4558			Sorghum bicolor	4558
theobroma_cacao_core_41_94_1	theobroma_cacao	GCA_000403535.1	Theobroma_cacao_20110822	2013-05	Theobroma_cacao_20110822			Generated from ENA annotation	Cacao Genome Consortium	2014-05-ENA	http://www.cacaogenomedb.org/	theobroma_cacao			http://en.wikipedia.org/wiki/Theobroma_cacao	Theobroma_cacao	Theobroma cacao	Theobroma cacao	3641	Cocoa	Matina 1-6	Theobroma cacao	3641
trifolium_pratense_core_41_94_1	trifolium_pratense	GCA_900079335.1	Trpr	2016-05	Trpr			Imported from EI	Earlham Institute	2016-04-TGAC		trifolium_pratense			http://en.wikipedia.org/wiki/Trifolium_pratense	Trifolium_pratense	Trifolium pratense	Trifolium pratense	57577			Trifolium pratense	57577
triticum_aestivum_core_41_94_4	triticum_aestivum	GCA_900519105 	IWGSC	2018-07	IWGSC			Imported from IWGSC	International Wheat Genome Sequencing Consortium	2018-04-IWGSC		triticum_aestivum			http://en.wikipedia.org/wiki/Triticum_aestivum	Triticum_aestivum	Triticum aestivum	Triticum aestivum	4565		Chinese spring	Triticum aestivum	4565
triticum_dicoccoides_core_41_94_1	triticum_dicoccoides	GCA_002162155.1	WEWSeq_v.1.0	2017-06	WEWSeq v.1.0			Imported from WWWSeq	WEWseq consortium	2017-05-WEWSeq		triticum_dicoccoides				triticum_dicoccoides	Triticum dicoccoides	Triticum dicoccoides	85692			Triticum dicoccoides	85692
triticum_urartu_core_41_94_1	triticum_urartu	GCA_000347455.1	ASM34745v1	2013-04	ASM34745v1			Generated from ENA annotation	Beijing Genomics Institute	2013-04-ENA	http://gigadb.org/dataset/100050	triticum_urartu			http://en.wikipedia.org/wiki/Triticum_urartu	Triticum_urartu	Triticum urartu	Triticum urartu	4572	Einkorn		Triticum urartu	4572
vigna_angularis_core_41_94_1	vigna_angularis	GCA_001190045.1	Vigan1.1	2015-08	Vigan1.1			Generated from ENA annotation	Beijing University of Agriculture	2015-08-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_001190045	vigna_angularis			http://en.wikipedia.org/wiki/Vigna_angularis	Vigna_angularis	Vigna angularis	Vigna angularis	3914			Vigna angularis	3914
vigna_radiata_core_41_94_2	vigna_radiata	GCA_000741045.2	Vradiata_ver6	2015-11	Vradiata_ver6			Generated from ENA annotation	Seoul National University	2015-10-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000741045	vigna_radiata_var_radiata			http://en.wikipedia.org/wiki/Vigna_radiata	Vigna_radiata_var_radiata	Vigna radiata var. radiata	Vigna radiata var. radiata	3916			Vigna radiata	157791
vitis_vinifera_core_41_94_3	vitis_vinifera	GCA_000003745.2	IGGP_12x	2011-11	12X			Imported from CRIBI V1 Grape Genome	Genoscope	2012-07-CRIBI	http://www.genoscope.cns.fr/externe/GenomeBrowser/Vitis	vitis_vinifera			http://en.wikipedia.org/wiki/Vitis_vinifera	Vitis_vinifera	Vitis vinifera	Vitis vinifera	29760	Grape	PN40024	Vitis vinifera	29760
zea_mays_core_41_94_7	zea_mays	GCA_000005005.6	AGPv4	2017-02	B73 RefGen_v4			Imported from Gramene	Gramene	CampbellMaker2016Dec		zea_mays				Zea_mays	Zea mays	Zea mays	4577	Maize		Zea mays	4577
