db	species	provider.name	provider.url	genebuild.method	genebuild.start_date	genebuild.last_geneset_update	genebuild.version	assembly.date	assembly.default	assembly.name	assembly.accession
oryza_punctata_core_30_83_12	oryza_punctata	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation 	2013-09-OGE		2013-09	2013-08	AVCL00000000	AVCL00000000	GCA_000573905.1
oryza_rufipogon_core_30_83_11	oryza_rufipogon	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation 	2013-09-OGE		2013-09-OGE	2013-08	PRJEB4137	PRJEB4137	
oryza_sativa_core_30_83_7	oryza_sativa	RAP-DB	http://rapdb.dna.affrc.go.jp/	Imported from RAP-DB	2013-04-IRGSP		IRGSP-1.0		IRGSP-1.0	IRGSP-1.0	GCA_000005425.2
ostreococcus_lucimarinus_core_30_83_1	ostreococcus_lucimarinus	JGI	http://www.phytozome.net/olucimarinus	Generated from ENA annotation	2007-04-EnsemblPlants	2011-01	2011-01-EnsemblPlants	2011-01	GCA_000092065.1	ASM9206v1	GCA_000092065.1
physcomitrella_patens_core_30_83_11	physcomitrella_patens	JGI	http://genome.jgi-psf.org/physcomitrella/physcomitrella.home.html	Imported from JGI-Phytozome	2011-03-JGI	2011-03	2011-03-Phypa1.6	2006-07	ASM242v1	ASM242v1	GCA_000002425.1
populus_trichocarpa_core_30_83_20	populus_trichocarpa	JGI	http://www.phytozome.net/poplar	Imported from JGI-Phytozome	2010-01-JGI		2010-01-JGI	2010-01	JGI2.0	JGI2.0	GCA_000002775.2
prunus_persica_core_30_83_1	prunus_persica	International Peach Genome Initiative	http://www.rosaceae.org/species/prunus_persica/genome_v1.0	Generated by the IPGI	2013-03-IPGI	2013-03	2013-03	2013-03	GCA_000346465.1	Prupe1_0	GCA_000346465.1
selaginella_moellendorffii_core_30_83_1	selaginella_moellendorffii	JGI	http://www.jgi.doe.gov/Selaginella	Generated from ENA and UniProtKB annotation	2010-07-ENA	2011-05	2011-05-ENA	2011-05	v1.0	v1.0	GCA_000143415.1
setaria_italica_core_30_83_21	setaria_italica	JGI	http://www.phytozome.net/foxtailmillet.php	Imported from JGI	2012-01-JGI		JGIv2.1	2012-01	JGIv2.0	JGIv2.0	GCA_000263155.1
solanum_lycopersicum_core_30_83_250	solanum_lycopersicum	ITGSP	http://solgenomics.net/organism/Solanum_lycopersicum/genome	Generated from ENA annotation	2011-02-EnsemblPlants	2014-10	2014-10-EnsemblPlants	2014-10	GCA_000188115.2	SL2.50	GCA_000188115.2
solanum_tuberosum_core_30_83_4	solanum_tuberosum	PGSC	http://potatogenome.net	import	2011-05-SolTub_3.0		SolTub_3.0	2011-05	3.0	SolTub_3.0	GCA_000226075.1
sorghum_bicolor_core_30_83_14	sorghum_bicolor	JGI	http://genome.jgi-psf.org/Sorbi1/Sorbi1.home.html	Imported from JGI-Phytozome	2007-12-JGI	2007-12	2007-12-JGI	2007-12	Sorbi1	Sorbi1	GCA_000003195.1
theobroma_cacao_core_30_83_1	theobroma_cacao	The Cacao Genome Database	http://www.cacaogenomedb.org/	Generated from ENA annotation	2013-06-EnsemblPlants	2014-05	2014-05-EnsemblPlants	2014-05	GCA_000403535.1	Theobroma_cacao_20110822	GCA_000403535.1
triticum_aestivum_core_30_83_2	triticum_aestivum	IWGSC	http://www.wheatgenome.org/	Imported from IWGSC	2014-11-IWGSC	2013-12-MIPS	2.2	2014-11	IWGSC1.0+popseq	IWGSC1.0+popseq	
triticum_urartu_core_30_83_1	triticum_urartu	BGI	http://gigadb.org/dataset/100050	Generated from ENA annotation	2014-05-BGI	2013-04	2013-04-BGI	2013-04	GCA_000347455.1	ASM34745v1	GCA_000347455.1
vitis_vinifera_core_30_83_3	vitis_vinifera	Genoscope	http://www.genoscope.cns.fr/externe/GenomeBrowser/Vitis	Imported from CRIBI V1 Grape Genome	2012-11-CRIBI		2012-07-CRIBI	2011-06	IGGP_12x	IGGP_12x	GCA_000003745.2
zea_mays_core_30_83_6	zea_mays	MaizeSequence.org	http://www.MaizeSequence.org	Imported from MaizeSequence.org	2010-01-MaizeSequence	2010-01	5b	2013-04	AGPv3	AGPv3	GCA_000005005.5
